648,3176,419,850,-634,229,2019-05-29T16:03:09.000Z,42.494123833,-83.159292333,205.7,2.386,0.0
-205,-279,280,-317,270,-77,2019-05-29T16:03:10.000Z,42.4941365,-83.159314667,207.1,2.585,2.310192137066501
408,-470,-2275,1040,269,-488,2019-05-29T16:03:11.000Z,42.494156333,-83.159327833,207.2,2.646,2.455347272385493
-830,375,412,-551,-1921,1870,2019-05-29T16:03:12.000Z,42.494181833,-83.159327333,207.4,3.099,2.835766958892312
-1372,-1696,-4521,1962,-234,394,2019-05-29T16:03:13.000Z,42.494210667,-83.1593275,206.8,3.152,3.206223751053649
-1517,-809,-396,-1125,80,494,2019-05-29T16:03:14.000Z,42.4942395,-83.1593295,205.8,3.334,3.2102739892976797
2090,-436,-2369,1517,45,215,2019-05-29T16:03:15.000Z,42.494270167,-83.159330833,204.9,3.411,3.4117657671857406
-73,2731,5116,-1397,623,-593,2019-05-29T16:03:16.000Z,42.4942985,-83.1593275,203.2,3.202,3.162315172055611
-593,-2444,-300,-340,-1341,-152,2019-05-29T16:03:17.000Z,42.494330833,-83.159325,202.2,3.491,3.60110374024544
301,1411,-1122,-1908,124,446,2019-05-29T16:03:18.000Z,42.494366833,-83.159327833,201.5,3.707,4.0097505482458935
1579,2461,304,850,-119,-398,2019-05-29T16:03:19.000Z,42.494401333,-83.1593305,200.3,3.568,3.8424518327191812
-765,1025,1751,-1226,59,-71,2019-05-29T16:03:20.000Z,42.494436667,-83.159329333,199.4,3.65,3.9301264119884642
-137,2170,-2721,1224,187,55,2019-05-29T16:03:21.000Z,42.494471667,-83.159334,197.6,4.059,3.910587734727099
-434,-882,351,-2203,390,-194,2019-05-29T16:03:22.000Z,42.494512,-83.159338,196.5,4.335,4.49679991501392
404,-1279,6435,-145,-1111,72,2019-05-29T16:03:23.000Z,42.494546167,-83.159338167,195.1,3.913,3.799221731692888
16,2471,663,-860,-1447,287,2019-05-29T16:03:24.000Z,42.4945885,-83.159348833,195.0,4.537,4.787755771749332
-1894,2888,-21,2725,1187,-762,2019-05-29T16:03:25.000Z,42.494634167,-83.159356667,195.0,4.521,5.118399051175875
-367,-1923,447,-1457,1085,18,2019-05-29T16:03:26.000Z,42.494679167,-83.159363,195.0,4.711,5.030639555077074
1205,3340,4330,-1118,-1196,88,2019-05-29T16:03:27.000Z,42.494723667,-83.159366,195.4,4.626,4.954283723824286
2680,374,266,-4678,-1546,381,2019-05-29T16:03:28.000Z,42.494769833,-83.159369667,194.9,4.934,5.142221633739257
2628,465,-2307,-1800,-285,527,2019-05-29T16:03:29.000Z,42.494817667,-83.159374667,195.6,5.079,5.334672375922594
1659,-1145,-4054,1119,-63,-535,2019-05-29T16:03:30.000Z,42.494865167,-83.159382,196.0,5.098,5.315867163877622
-1269,5145,401,7439,-1904,-1298,2019-05-29T16:03:31.000Z,42.4949135,-83.1593865,194.6,5.003,5.387033449265047
-388,150,-3189,2338,90,-17,2019-05-29T16:03:32.000Z,42.4949665,-83.159389333,194.3,5.294,5.897906581920419
-98,651,500,1938,1324,64,2019-05-29T16:03:33.000Z,42.4950165,-83.159394167,194.1,5.18,5.573854769932546
1991,612,-4582,-1068,-319,650,2019-05-29T16:03:34.000Z,42.495067,-83.159395333,192.6,5.324,5.616157487278588
-443,-420,2485,-1108,-1088,-117,2019-05-29T16:03:35.000Z,42.49512,-83.159392167,192.3,5.487,5.899044850973104
-388,-2031,1908,2956,-1973,-505,2019-05-29T16:03:36.000Z,42.495170167,-83.1593955,191.5,5.43,5.585005118378868
-1483,-2809,2987,-3459,-386,-23,2019-05-29T16:03:37.000Z,42.495217667,-83.159393667,190.5,5.037,5.283896618214537
-397,-596,2140,-1799,45,383,2019-05-29T16:03:38.000Z,42.495271333,-83.159395167,189.7,5.849,5.9686540597733995
497,-3466,-362,-1971,1355,-443,2019-05-29T16:03:39.000Z,42.495325333,-83.159403167,189.8,5.674,6.0402433291377235
-596,-2324,1622,-753,-1720,-667,2019-05-29T16:03:40.000Z,42.495380833,-83.1594085,190.2,6.011,6.186788328271409
-267,226,2730,-314,1050,-778,2019-05-29T16:03:41.000Z,42.495448,-83.159425167,191.5,5.639,7.592609054950589
-2405,-72,-126,-1202,113,26,2019-05-29T16:03:42.000Z,42.495498833,-83.159426333,191.1,5.398,5.653180056583325
-663,2133,-187,588,-212,125,2019-05-29T16:03:43.000Z,42.495555333,-83.15943,191.6,5.501,6.289702940315506
-1398,258,-86,242,169,-70,2019-05-29T16:03:44.000Z,42.495611333,-83.159433,190.8,5.135,6.2317717199795135
3846,1732,856,-3674,5003,1497,2019-05-29T16:03:45.000Z,42.495662333,-83.159431667,190.7,4.966,5.671994255828552
1787,-2961,-1590,2358,500,-280,2019-05-29T16:03:46.000Z,42.4957155,-83.1594265,190.6,5.533,5.927059121687713
-758,-1936,4566,-1970,-958,284,2019-05-29T16:03:47.000Z,42.495771667,-83.159423167,191.3,5.514,6.2514607148991015
-820,696,-2322,2157,-279,-1073,2019-05-29T16:03:48.000Z,42.495825,-83.159416167,191.6,5.658,5.958064261873607
1050,-4272,-1171,1984,57,-415,2019-05-29T16:03:49.000Z,42.4958775,-83.159414333,191.9,5.451,5.839669810445259
832,610,-1024,414,-880,242,2019-05-29T16:03:50.000Z,42.495927,-83.159411333,191.4,5.305,5.509641676128335
5660,-899,3444,-5127,5508,-421,2019-05-29T16:03:51.000Z,42.495984,-83.159416833,192.6,5.659,6.354131276446615
3626,10585,22259,-1412,-1732,240,2019-05-29T16:03:52.000Z,42.496037667,-83.1594215,192.3,5.63,5.979752604654434
277,3462,-757,1346,-1232,-499,2019-05-29T16:03:53.000Z,42.496086833,-83.159428667,191.1,5.133,5.498496852582312
-726,-1050,-1776,-1691,478,393,2019-05-29T16:03:54.000Z,42.496123167,-83.159437833,189.8,3.539,4.109452557700196
-2897,379,-2616,2893,2602,-747,2019-05-29T16:03:55.000Z,42.496161667,-83.1594505,189.1,4.092,4.405171114645211
515,426,2523,-3712,114,438,2019-05-29T16:03:56.000Z,42.496213833,-83.1594605,189.3,5.611,5.858248511962605
564,3359,3995,-2541,612,96,2019-05-29T16:03:57.000Z,42.496273667,-83.159466167,189.2,6.028,6.669440366239886
1031,-1944,-3475,463,-186,-368,2019-05-29T16:03:58.000Z,42.496334333,-83.1594715,189.3,6.112,6.75990643977077
-67,-1366,-104,-5794,-562,-281,2019-05-29T16:03:59.000Z,42.496392167,-83.159479333,190.0,5.231,6.462833508145229
