648,3176,419,850,-634,229,2019-05-29T16:03:09.000Z,42.494123833,-83.159292333,205.7,2.386
-205,-279,280,-317,270,-77,2019-05-29T16:03:10.000Z,42.4941365,-83.159314667,207.1,2.585
408,-470,-2275,1040,269,-488,2019-05-29T16:03:11.000Z,42.494156333,-83.159327833,207.2,2.646
-830,375,412,-551,-1921,1870,2019-05-29T16:03:12.000Z,42.494181833,-83.159327333,207.4,3.099
-1372,-1696,-4521,1962,-234,394,2019-05-29T16:03:13.000Z,42.494210667,-83.1593275,206.8,3.152
-1517,-809,-396,-1125,80,494,2019-05-29T16:03:14.000Z,42.4942395,-83.1593295,205.8,3.334
2090,-436,-2369,1517,45,215,2019-05-29T16:03:15.000Z,42.494270167,-83.159330833,204.9,3.411
-73,2731,5116,-1397,623,-593,2019-05-29T16:03:16.000Z,42.4942985,-83.1593275,203.2,3.202
-593,-2444,-300,-340,-1341,-152,2019-05-29T16:03:17.000Z,42.494330833,-83.159325,202.2,3.491
301,1411,-1122,-1908,124,446,2019-05-29T16:03:18.000Z,42.494366833,-83.159327833,201.5,3.707
1579,2461,304,850,-119,-398,2019-05-29T16:03:19.000Z,42.494401333,-83.1593305,200.3,3.568
-765,1025,1751,-1226,59,-71,2019-05-29T16:03:20.000Z,42.494436667,-83.159329333,199.4,3.65
-137,2170,-2721,1224,187,55,2019-05-29T16:03:21.000Z,42.494471667,-83.159334,197.6,4.059
-434,-882,351,-2203,390,-194,2019-05-29T16:03:22.000Z,42.494512,-83.159338,196.5,4.335
404,-1279,6435,-145,-1111,72,2019-05-29T16:03:23.000Z,42.494546167,-83.159338167,195.1,3.913
16,2471,663,-860,-1447,287,2019-05-29T16:03:24.000Z,42.4945885,-83.159348833,195.0,4.537
-1894,2888,-21,2725,1187,-762,2019-05-29T16:03:25.000Z,42.494634167,-83.159356667,195.0,4.521
-367,-1923,447,-1457,1085,18,2019-05-29T16:03:26.000Z,42.494679167,-83.159363,195.0,4.711
1205,3340,4330,-1118,-1196,88,2019-05-29T16:03:27.000Z,42.494723667,-83.159366,195.4,4.626
2680,374,266,-4678,-1546,381,2019-05-29T16:03:28.000Z,42.494769833,-83.159369667,194.9,4.934
2628,465,-2307,-1800,-285,527,2019-05-29T16:03:29.000Z,42.494817667,-83.159374667,195.6,5.079
1659,-1145,-4054,1119,-63,-535,2019-05-29T16:03:30.000Z,42.494865167,-83.159382,196.0,5.098
-1269,5145,401,7439,-1904,-1298,2019-05-29T16:03:31.000Z,42.4949135,-83.1593865,194.6,5.003
-388,150,-3189,2338,90,-17,2019-05-29T16:03:32.000Z,42.4949665,-83.159389333,194.3,5.294
-98,651,500,1938,1324,64,2019-05-29T16:03:33.000Z,42.4950165,-83.159394167,194.1,5.18
1991,612,-4582,-1068,-319,650,2019-05-29T16:03:34.000Z,42.495067,-83.159395333,192.6,5.324
-443,-420,2485,-1108,-1088,-117,2019-05-29T16:03:35.000Z,42.49512,-83.159392167,192.3,5.487
-388,-2031,1908,2956,-1973,-505,2019-05-29T16:03:36.000Z,42.495170167,-83.1593955,191.5,5.43
-1483,-2809,2987,-3459,-386,-23,2019-05-29T16:03:37.000Z,42.495217667,-83.159393667,190.5,5.037
-397,-596,2140,-1799,45,383,2019-05-29T16:03:38.000Z,42.495271333,-83.159395167,189.7,5.849
497,-3466,-362,-1971,1355,-443,2019-05-29T16:03:39.000Z,42.495325333,-83.159403167,189.8,5.674
-596,-2324,1622,-753,-1720,-667,2019-05-29T16:03:40.000Z,42.495380833,-83.1594085,190.2,6.011
-267,226,2730,-314,1050,-778,2019-05-29T16:03:41.000Z,42.495448,-83.159425167,191.5,5.639
-2405,-72,-126,-1202,113,26,2019-05-29T16:03:42.000Z,42.495498833,-83.159426333,191.1,5.398
-663,2133,-187,588,-212,125,2019-05-29T16:03:43.000Z,42.495555333,-83.15943,191.6,5.501
-1398,258,-86,242,169,-70,2019-05-29T16:03:44.000Z,42.495611333,-83.159433,190.8,5.135
3846,1732,856,-3674,5003,1497,2019-05-29T16:03:45.000Z,42.495662333,-83.159431667,190.7,4.966
1787,-2961,-1590,2358,500,-280,2019-05-29T16:03:46.000Z,42.4957155,-83.1594265,190.6,5.533
-758,-1936,4566,-1970,-958,284,2019-05-29T16:03:47.000Z,42.495771667,-83.159423167,191.3,5.514
-820,696,-2322,2157,-279,-1073,2019-05-29T16:03:48.000Z,42.495825,-83.159416167,191.6,5.658
1050,-4272,-1171,1984,57,-415,2019-05-29T16:03:49.000Z,42.4958775,-83.159414333,191.9,5.451
832,610,-1024,414,-880,242,2019-05-29T16:03:50.000Z,42.495927,-83.159411333,191.4,5.305
5660,-899,3444,-5127,5508,-421,2019-05-29T16:03:51.000Z,42.495984,-83.159416833,192.6,5.659
3626,10585,22259,-1412,-1732,240,2019-05-29T16:03:52.000Z,42.496037667,-83.1594215,192.3,5.63
277,3462,-757,1346,-1232,-499,2019-05-29T16:03:53.000Z,42.496086833,-83.159428667,191.1,5.133
-726,-1050,-1776,-1691,478,393,2019-05-29T16:03:54.000Z,42.496123167,-83.159437833,189.8,3.539
-2897,379,-2616,2893,2602,-747,2019-05-29T16:03:55.000Z,42.496161667,-83.1594505,189.1,4.092
515,426,2523,-3712,114,438,2019-05-29T16:03:56.000Z,42.496213833,-83.1594605,189.3,5.611
564,3359,3995,-2541,612,96,2019-05-29T16:03:57.000Z,42.496273667,-83.159466167,189.2,6.028
1031,-1944,-3475,463,-186,-368,2019-05-29T16:03:58.000Z,42.496334333,-83.1594715,189.3,6.112
-67,-1366,-104,-5794,-562,-281,2019-05-29T16:03:59.000Z,42.496392167,-83.159479333,190.0,5.231
1317,-2533,653,-1897,-35,-8,2019-05-29T16:04:00.000Z,42.496455,-83.159488833,190.6,5.583
-4819,8564,18760,-5405,-8614,4003,2019-05-29T16:04:01.000Z,42.496509833,-83.1594875,191.2,4.99
492,-729,-5102,-3283,-1144,-90,2019-05-29T16:04:02.000Z,42.496562833,-83.159488167,190.7,5.92
404,3609,-3211,2891,1437,-862,2019-05-29T16:04:03.000Z,42.496615,-83.159490667,190.2,5.186
-681,-3493,4810,-2858,789,-165,2019-05-29T16:04:04.000Z,42.496657,-83.1594895,189.5,3.817
442,-1257,-505,-1090,1719,-305,2019-05-29T16:04:05.000Z,42.496696167,-83.1594885,189.0,3.651
7085,-8155,152,1552,1926,-2228,2019-05-29T16:04:06.000Z,42.496733167,-83.159492833,189.8,3.435
4886,1361,19258,10157,-1563,-1608,2019-05-29T16:04:07.000Z,42.496764667,-83.159482333,190.1,3.261
1464,-8897,-2949,934,-1943,1124,2019-05-29T16:04:08.000Z,42.496806667,-83.159456167,191.9,3.733
-226,402,652,544,-876,-496,2019-05-29T16:04:09.000Z,42.496838667,-83.159415167,193.1,3.891
-515,-1476,2516,-4303,395,1071,2019-05-29T16:04:10.000Z,42.4968595,-83.159371,194.1,4.079
243,1587,-2958,-270,-424,2609,2019-05-29T16:04:11.000Z,42.496871833,-83.159314667,194.2,4.577
-2096,-2781,-1849,3048,-443,134,2019-05-29T16:04:12.000Z,42.4968845,-83.159262167,194.2,4.332
3144,-1476,-1836,-167,870,-137,2019-05-29T16:04:13.000Z,42.496891333,-83.15921,193.0,4.395
-1637,-1211,6387,-5403,1259,783,2019-05-29T16:04:14.000Z,42.496901,-83.159160333,192.2,3.791
1864,4753,-2538,-421,815,-428,2019-05-29T16:04:15.000Z,42.496909,-83.159112667,190.9,3.941
-1957,6767,-5367,4687,-8992,-160,2019-05-29T16:04:16.000Z,42.496916667,-83.159055,191.0,4.587
2537,-682,-3535,4659,-2577,110,2019-05-29T16:04:17.000Z,42.496923667,-83.158997167,190.2,4.703
487,214,-257,-1621,-1280,4,2019-05-29T16:04:18.000Z,42.496934167,-83.158938833,190.7,4.362
2385,167,-4943,6381,-1883,811,2019-05-29T16:04:19.000Z,42.496947167,-83.158869833,191.9,5.319
-3132,-8975,-714,-6334,-1478,909,2019-05-29T16:04:20.000Z,42.496959833,-83.158797833,192.7,5.438
1801,-6982,-10093,-1438,3877,428,2019-05-29T16:04:21.000Z,42.4969705,-83.158726833,193.2,5.468
90,3232,-2708,4938,2402,-1634,2019-05-29T16:04:22.000Z,42.496981833,-83.1586575,194.2,5.321
-1532,5731,-10080,3103,-1649,1067,2019-05-29T16:04:23.000Z,42.496987667,-83.158588,194.8,5.17
4902,908,-17523,-8078,906,308,2019-05-29T16:04:24.000Z,42.496975167,-83.1585295,195.0,4.968
7153,1740,5159,2135,-7082,80,2019-05-29T16:04:25.000Z,42.4969435,-83.158494167,195.0,4.696
11608,7304,-14521,1181,-2828,-857,2019-05-29T16:04:26.000Z,42.4969055,-83.158485333,196.1,4.222
3904,-9908,-8759,5669,2477,-6804,2019-05-29T16:04:27.000Z,42.496864333,-83.158488667,197.0,4.889
-2335,6755,3586,3736,-1865,-698,2019-05-29T16:04:28.000Z,42.4968215,-83.1584925,197.7,4.752
-192,-6629,-4206,6393,325,-292,2019-05-29T16:04:29.000Z,42.496778333,-83.158488667,198.3,4.986
2895,-340,-4408,-545,-2657,-72,2019-05-29T16:04:30.000Z,42.496734667,-83.158480833,198.8,5.018
-2209,977,22467,13727,609,-1492,2019-05-29T16:04:31.000Z,42.496691667,-83.158474333,198.3,4.854
4101,-74,2959,-1844,-2355,-1671,2019-05-29T16:04:32.000Z,42.496648333,-83.1584685,198.0,4.901
2951,246,-3954,5321,4297,-2932,2019-05-29T16:04:33.000Z,42.496603667,-83.158466667,197.9,5.064
-4503,-9512,19986,9193,-1892,-5275,2019-05-29T16:04:34.000Z,42.496558833,-83.158461667,198.1,5.094
8,-8535,584,4085,13235,-1493,2019-05-29T16:04:35.000Z,42.496518167,-83.158455,197.3,4.898
-245,-1174,14484,-7079,-4641,778,2019-05-29T16:04:36.000Z,42.496473833,-83.158448667,197.9,5.12
1504,4222,-8662,-5848,951,1260,2019-05-29T16:04:37.000Z,42.496428333,-83.158441667,198.2,5.217
-744,2251,-8964,-7514,1183,2215,2019-05-29T16:04:38.000Z,42.496383167,-83.158434667,198.2,5.127
9220,-13674,21645,-6493,17169,75,2019-05-29T16:04:39.000Z,42.4963375,-83.1584285,198.1,5.148
-1321,631,-9028,4634,4078,-1131,2019-05-29T16:04:40.000Z,42.496291333,-83.158424333,198.3,5.151
3087,9602,761,4371,2272,-1573,2019-05-29T16:04:41.000Z,42.496245333,-83.158423,198.3,5.122
74,1823,320,792,1803,1475,2019-05-29T16:04:42.000Z,42.496199833,-83.158418333,198.3,5.067
5454,14288,-10898,15003,-12062,3330,2019-05-29T16:04:43.000Z,42.496154333,-83.158414,198.3,5.041
-4012,7412,-1117,4470,-467,-295,2019-05-29T16:04:44.000Z,42.496107667,-83.158416,198.4,5.322
-13202,-4268,5854,14657,13671,-7531,2019-05-29T16:04:45.000Z,42.4960625,-83.1584155,198.3,5.083
791,-5294,-3421,-590,2729,2041,2019-05-29T16:04:46.000Z,42.496020667,-83.158412833,198.4,4.53
368,-12213,680,-11611,256,1880,2019-05-29T16:04:47.000Z,42.4959785,-83.158406167,198.3,4.675
-320,-1557,-4385,8260,-541,-1676,2019-05-29T16:04:48.000Z,42.495936333,-83.158407667,198.6,4.624
2795,-9638,21952,15998,6473,-3882,2019-05-29T16:04:49.000Z,42.495892667,-83.158410833,199.4,4.816
-2230,-1504,-18396,2841,-9183,427,2019-05-29T16:04:50.000Z,42.495849833,-83.158411167,199.9,4.753
12508,4874,3617,271,-16729,-5402,2019-05-29T16:04:51.000Z,42.495804667,-83.158409833,200.5,4.942
709,5572,22321,-10852,1110,1884,2019-05-29T16:04:52.000Z,42.495760167,-83.158406167,200.1,4.97
-12635,-8680,11955,94,10772,4158,2019-05-29T16:04:53.000Z,42.4957155,-83.158401167,200.3,4.872
-2358,1029,-12444,-1952,2550,-790,2019-05-29T16:04:54.000Z,42.495672,-83.158394667,200.2,4.694
-3717,6544,986,-776,2188,1038,2019-05-29T16:04:55.000Z,42.495628667,-83.158391667,200.3,4.836
-2570,-6144,20374,12111,-3205,-2766,2019-05-29T16:04:56.000Z,42.495584667,-83.158390667,200.5,4.849
-4139,4637,-1295,8062,1461,2187,2019-05-29T16:04:57.000Z,42.49554,-83.158388333,200.3,4.786
6966,-14802,12222,-10791,15862,827,2019-05-29T16:04:58.000Z,42.495498667,-83.158382833,200.3,4.512
-1629,5540,-813,-14526,290,827,2019-05-29T16:04:59.000Z,42.4954545,-83.158380833,200.2,5.019
422,1743,-2355,-12145,-2751,1723,2019-05-29T16:05:00.000Z,42.495409167,-83.158379667,200.1,5.003
-22,3595,-4752,-6327,3680,1314,2019-05-29T16:05:01.000Z,42.4953635,-83.158376333,199.9,5.058
-1656,1531,2179,-960,-134,749,2019-05-29T16:05:02.000Z,42.4953175,-83.158372833,199.8,5.137
-4595,7016,2480,-1993,3844,2364,2019-05-29T16:05:03.000Z,42.495269667,-83.158371167,199.8,5.341
4287,-4488,-6145,-4790,4243,-309,2019-05-29T16:05:04.000Z,42.495222,-83.158365667,199.7,5.28
4261,9110,-5353,6848,-1326,-3017,2019-05-29T16:05:05.000Z,42.495174333,-83.158361833,199.5,5.272
